original,translate
#General
Prologue,Пролог
Chapter,Глава
Quest Completed,Задание выполнено
Two Weeks Earlier,Две недели назад
Quest Started,Задание начато
#,#
# Books,#Книги
#,#
#DeadSmugglerJournal
I hate these jobs,"Ненавижу такую работу",id:DeadSmugglerJournal.Intro;source:description
Dropped off and told to guard the cargo until the next ship picks you up,"Высадили и велели охранять груз, пока следующий корабль не заберет",id:DeadSmugglerJournal.Intro;source:description
And in this bloody cave no less,"И всё это — в этой чёртовой пещере",id:DeadSmugglerJournal.Intro;source:description
I sometimes think the Imperial dungeons would be preferable,"Иногда думаю, имперские подземелья были бы предпочтительнее",id:DeadSmugglerJournal.Intro;source:description
Read on,"Читать дальше",id:DeadSmugglerJournal.Intro.Exit_1028;source:option;target:Node2,
Leave,"Уйти",id:DeadSmugglerJournal.Intro.Exit_1029;source:option;target:{clearScene},
We spent some time exploring the cave today and it seems there is a side tunnel,"Сегодня мы потратили время на исследование пещеры, и кажется, здесь есть боковой туннель",id:DeadSmugglerJournal.Node2;source:description
"It's blocked off but if we had a pickaxe, I'm certain we could clear in with ease","Он завален, но если бы у нас была кирка, я уверен, мы легко бы его расчистили",id:DeadSmugglerJournal.Node2;source:description
Bryn says the area gives him the chills and that we better keep away,"Брин говорит, что это место нагоняет на него мурашки, и лучше нам держаться подальше",id:DeadSmugglerJournal.Node2;source:description
Coward!,"Трус!",id:DeadSmugglerJournal.Node2;source:description
Golden dead!,"Золотые павшие!",id:DeadSmugglerJournal.Node3;source:description
Bryn got attacked by a crab the size of a warhound today!,"На Брина сегодня напал краб размером с боевую собаку!",id:DeadSmugglerJournal.Node3;source:description
Nearly took his leg off!,"Чуть не оторвал ему ногу!",id:DeadSmugglerJournal.Node3;source:description
Neither of us have seen anything like it before and we can only pray it was alone!,"Никто из нас раньше не видел ничего подобного, и мы можем только молиться, чтобы он был один!",id:DeadSmugglerJournal.Node3;source:description
Hope the ship won't be delayed much longer,"Надеюсь, корабль не задержится намного дольше",id:DeadSmugglerJournal.Node3;source:description
Bryn is gone,"Брина больше нет",id:DeadSmugglerJournal.Node4;source:description
Tore him up they did!,"Они разорвали его на части!",id:DeadSmugglerJournal.Node4;source:description
No way out and no one is coming for me!,"Выхода нет, и никто не придет за мной!",id:DeadSmugglerJournal.Node4;source:description
Light is failing,"Свет угасает",id:DeadSmugglerJournal.Node4;source:description
Mother,"Мама",id:DeadSmugglerJournal.Node4;source:description
#IntroSurgeonJournal
Surgeon's Journal,"Журнал хирурга",id:IntroSurgeonJournal.Intro;source:title,
Written on the day of departure from mainland,"Записано в день отправления с материка",id:IntroSurgeonJournal.Intro;source:description
Left Adler's Helm today with a full cargo of passengers,"Сегодня покинули Адлеров Шлем с полным грузом пассажиров",id:IntroSurgeonJournal.Intro;source:description
Mercenaries by the looks of it,"По виду — наемники",id:IntroSurgeonJournal.Intro;source:description
Paid well,"Хорошо заплатили",id:IntroSurgeonJournal.Intro;source:description
Ship was dispatched by Guild before we could fully restock medical supplies,"Корабль был отправлен Гильдией до того, как мы смогли полностью пополнить медицинские запасы",id:IntroSurgeonJournal.Intro;source:description
Hopefully we won't need them,"Надеюсь, они нам не понадобятся",id:IntroSurgeonJournal.Intro;source:description
"Then again, our passengers make me uneasy","Впрочем, наши пассажиры беспокоят меня",id:IntroSurgeonJournal.Intro;source:description
Writtern 5 days ago,"Написано 5 дней назад",id:IntroSurgeonJournal.Node;source:description
Brawl in mess - had to set nose,"Драка в кают-компании — пришлось вправлять нос",id:IntroSurgeonJournal.Node;source:description
Men seem on edge,"Люди на взводе",id:IntroSurgeonJournal.Node;source:description
"Also, Igan came to me today with a bite-wound that he sustained whilst working in the hold","Также Иган сегодня пришел ко мне с укусом, который получил, работая в трюме",id:IntroSurgeonJournal.Node;source:description
Didn't see creature and I would say it was a rat's bite if it weren't for the size and some aspect of the dentition that I find hard to explain properly,"Не видел существа, и я бы сказал, что это укус крысы, если бы не размер и некоторые особенности зубов, которые трудно объяснить",id:IntroSurgeonJournal.Node;source:description
I recommend captain sends detail to capture and kill creature,"Рекомендую капитану послать команду поймать и убить тварь",id:IntroSurgeonJournal.Node;source:description
Written two days ago,"Написано два дня назад",id:IntroSurgeonJournal.Node_1;source:description
Was visited today by navigator Aslam,"Сегодня меня посетил навигатор Аслам",id:IntroSurgeonJournal.Node_1;source:description
He asked for Whitefern - a sedative,"Он просил Белый папоротник — успокоительное",id:IntroSurgeonJournal.Node_1;source:description
Claimed he had trouble sleeping,"Утверждал, что у него проблемы со сном",id:IntroSurgeonJournal.Node_1;source:description
"Suspected he was not fully forthcoming and when pushed, he mumbled something about the stars being 'odd'","Заподозрил, что он сказал не всю правду, и когда я надавил, он пробормотал что-то о том, что звезды 'странные'",id:IntroSurgeonJournal.Node_1;source:description
